ebird_code_v2022,scientific_name
comshe,Tadorna tadorna
rudshe,Tadorna ferruginea
soashe1,Tadorna cana
ausshe1,Tadorna tadornoides
parshe1,Tadorna variegata
pieduc1,Malacorhynchus membranaceus
musduc,Cairina moschata
whwduc1,Asarcornis scutulata
harduc1,Pteronetta hartlaubii
wooduc,Aix sponsa
manduc,Aix galericulata
manduc1,Chenonetta jubata
afrpyg1,Nettapus auritus
copgoo1,Nettapus coromandelianus
grnpyg1,Nettapus pulchellus
bratea1,Amazonetta brasiliensis
rintea1,Callonetta leucophrys
creduc1,Lophonetta specularioides
speduc2,Speculanas specularis
baitea,Sibirionetta formosa
gargan,Spatula querquedula
hottea1,Spatula hottentota
puntea1,Spatula puna
siltea1,Spatula versicolor
redsho1,Spatula platalea
cintea,Spatula cyanoptera
buwtea,Spatula discors
capsho1,Spatula smithii
norsho,Spatula clypeata
gadwal,Mareca strepera
falduc,Mareca falcata
eurwig,Mareca penelope
chiwig1,Mareca sibilatrix
amewig,Mareca americana
afbduc1,Anas sparsa
yebduc1,Anas undulata
melduc1,Anas melleri
pabduc1,Anas superciliosa
hawduc,Anas wyvilliana
phiduc1,Anas luzonica
isbduc1,Anas poecilorhyncha
spbduc,Anas zonorhyncha
mallar3,Anas platyrhynchos
motduc,Anas fulvigula
ambduc,Anas rubripes
mexduc,Anas diazi
captea1,Anas capensis
whcpin,Anas bahamensis
rebduc1,Anas erythrorhyncha
yebpin1,Anas georgica
eatpin1,Anas eatoni
norpin,Anas acuta
gnwtea,Anas crecca
yebtea1,Anas flavirostris
spetea3,Anas andium
suntea1,Anas gibberifrons
andtea1,Anas albogularis
gretea1,Anas gracilis
chetea1,Anas castanea
bertea1,Anas bernieri
brotea1,Anas chlorotis
caitea1,Anas nesiotis
martea1,Marmaronetta angustirostris
recpoc,Netta rufina
robpoc1,Netta peposaca
canvas,Aythya valisineria
redhea,Aythya americana
compoc,Aythya ferina
ferduc,Aythya nyroca
nezsca1,Aythya novaeseelandiae
rinduc,Aythya collaris
tufduc,Aythya fuligula
gresca,Aythya marila
lessca,Aythya affinis
steeid,Polysticta stelleri
speeid,Somateria fischeri
kineid,Somateria spectabilis
comeid,Somateria mollissima
harduc,Histrionicus histrionicus
sursco,Melanitta perspicillata
whwsco3,Melanitta fusca
whwsco2,Melanitta deglandi
whwsco1,Melanitta stejnegeri
blksco1,Melanitta nigra
blksco2,Melanitta americana
lotduc,Clangula hyemalis
buffle,Bucephala albeola
comgol,Bucephala clangula
bargol,Bucephala islandica
smew,Mergellus albellus
hoomer,Lophodytes cucullatus
bramer1,Mergus octosetaceus
commer,Mergus merganser
rebmer,Mergus serrator
scsmer1,Mergus squamatus
blhduc1,Heteronetta atricapilla
masduc,Nomonyx dominicus
rudduc,Oxyura jamaicensis
andduc1,Oxyura ferruginea
lakduc1,Oxyura vittata
blbduc1,Oxyura australis
macduc1,Oxyura maccoa
whhduc1,Oxyura leucocephala
musduc1,Biziura lobata
ausbrt1,Alectura lathami
watbrt1,Aepypodius arfakianus
rebbrt1,Talegalla cuvieri
bkbbrt1,Talegalla fuscirostris
bncbrt1,Talegalla jobiensis
micscr1,Megapodius laperouse
tabscr1,Megapodius cumingii
tanscr1,Megapodius tenimberensis
dusscr1,Megapodius freycinet
dusscr3,Megapodius geelvinkianus
melscr1,Megapodius eremita
vanscr1,Megapodius layardi
negscr1,Megapodius decollatus
orfscr1,Megapodius reinwardt
placha,Ortalis vetula
grhcha1,Ortalis cinereiceps
chwcha1,Ortalis garrula
ruvcha1,Ortalis ruficauda
ruhcha1,Ortalis erythroptera
rubcha1,Ortalis wagleri
wemcha1,Ortalis poliocephala
chacha1,Ortalis canicollis
whbcha1,Ortalis leucogastra
specha3,Ortalis guttata
specha2,Ortalis araucuan
specha4,Ortalis squamata
colcha1,Ortalis columbiana
varcha1,Ortalis motmot
varcha3,Ortalis ruficeps
bubcha1,Ortalis superciliaris
batgua1,Penelope argyrotis
beagua1,Penelope barbata
baugua1,Penelope ortoni
andgua1,Penelope montagnii
margua1,Penelope marail
rumgua1,Penelope superciliaris
refgua1,Penelope dabbenei
cregua1,Penelope purpurascens
caugua1,Penelope perspicax
whwgua1,Penelope albipennis
spigua1,Penelope jacquacu
dulgua1,Penelope obscura
dulgua3,Penelope bridgesi
whcgua1,Penelope pileata
chbgua1,Penelope ochrogaster
whbgua1,Penelope jacucaca
butpig1,Pipile cumanensis
rtpgua1,Pipile cujubi
bfpgua1,Pipile jacutinga
watgua1,Aburria aburri
blagua1,Chamaepetes unicolor
siwgua1,Chamaepetes goudotii
higgua1,Penelopina nigra
horgua1,Oreophasis derbianus
noccur1,Nothocrax urumutum
crecur2,Mitu tomentosum
salcur1,Mitu salvini
rabcur2,Mitu tuberosum
helcur1,Pauxi pauxi
horcur2,Pauxi koepckeae
grecur1,Crax rubra
bubcur1,Crax alberti
yekcur1,Crax daubentoni
blacur1,Crax alector
watcur1,Crax globulosa
bafcur1,Crax fasciolata
rebcur1,Crax blumenbachii
whbgui1,Agelastes meleagrides
helgui,Numida meleagris
plugui1,Guttera plumifera
cregui3,Guttera pucherani
vulgui1,Acryllium vulturinum
stopar1,Ptilopachus petrosus
nahfra2,Ptilopachus nahani
bcwpar1,Dendrortyx leucophrys
ltwpar1,Dendrortyx macroura
bewpar1,Dendrortyx barbatus
mouqua,Oreortyx pictus
scaqua,Callipepla squamata
elequa,Callipepla douglasii
calqua,Callipepla californica
gamqua,Callipepla gambelii
banqua1,Philortyx fasciatus
norbob,Colinus virginianus
bltbob1,Colinus nigrogularis
crebob2,Colinus cristatus [leucopogon Group]
crebob1,Colinus cristatus
mawqua1,Odontophorus gujanensis
swwqua1,Odontophorus capueira
bewqua1,Odontophorus melanotis
rfwqua1,Odontophorus erythrops
bfwqua1,Odontophorus atrifrons
chwqua1,Odontophorus hyperythrus
dbwqua1,Odontophorus melanonotus
rbwqua1,Odontophorus speciosus
tawqua1,Odontophorus dialeucos
gowqua1,Odontophorus strophium
venwoq1,Odontophorus columbianus
bbwqua1,Odontophorus leucolaemus
sfwqua1,Odontophorus balliviani
stwqua1,Odontophorus stellatus
spwqua1,Odontophorus guttatus
sinqua1,Dactylortyx thoracicus
monqua,Cyrtonyx montezumae
ocequa1,Cyrtonyx ocellatus
tafqua1,Rhynchortyx cinctus
ferpar2,Caloperdix oculeus
crepar1,Rollulus rouloul
hilpar1,Arborophila torqueola
sicpar1,Arborophila rufipectus
chbpar2,Arborophila mandellii
whnpar2,Arborophila gingica
rutpar1,Arborophila rufogularis
chhpar3,Arborophila cambodiana diversa
haipar1,Arborophila ardens
taipar1,Arborophila crudigularis
whcpar1,Arborophila atrogularis
babpar1,Arborophila brunneopectus
ornpar1,Arborophila davidi
rebpar5,Arborophila hyperythra
gybpar3,Arborophila campbelli
chbpar1,Arborophila javanica
snopar1,Lerwa lerwa
blophe1,Ithaginis cruentus
westra1,Tragopan melanocephalus
sattra1,Tragopan satyra
blytra1,Tragopan blythii
temtra1,Tragopan temminckii
verpar1,Tetraophasis obscurus
szepar1,Tetraophasis szechenyii
himmon1,Lophophorus impejanus
chimon1,Lophophorus lhuysii
kokphe1,Pucrasia macrolopha
wiltur,Meleagris gallopavo
ocetur1,Meleagris ocellata
rufgro,Bonasa umbellus
hazgro1,Tetrastes bonasia
saggro,Centrocercus urophasianus
gusgro,Centrocercus minimus
dusgro,Dendragapus obscurus
soogro1,Dendragapus fuliginosus
shtgro,Tympanuchus phasianellus
grpchi,Tympanuchus cupido
lepchi,Tympanuchus pallidicinctus
whtpta1,Lagopus leucura
wilpta,Lagopus lagopus
rocpta1,Lagopus muta
sprgro,Canachites canadensis
wescap1,Tetrao urogallus
blbcap1,Tetrao urogalloides
blagro1,Lyrurus tetrix
caugro1,Lyrurus mlokosiewiczi
tibpar1,Perdix hodgsoniae
grypar,Perdix perdix
daupar1,Perdix dauurica
reephe1,Syrmaticus reevesii
mikphe1,Syrmaticus mikado
humphe1,Syrmaticus humiae
golphe,Chrysolophus pictus
laaphe1,Chrysolophus amherstiae
rinphe1,Phasianus colchicus
rinphe2,Phasianus versicolor
chephe1,Catreus wallichii
whieap2,Crossoptilon harmani
whieap1,Crossoptilon crossoptilon
brephe1,Crossoptilon mantchuricum
blephe1,Crossoptilon auritum
swiphe1,Lophura swinhoii
bulphe1,Lophura bulweri
kalphe,Lophura leucomelanos
silphe,Lophura nycthemera
compea,Pavo cristatus
grepea1,Pavo muticus
scbpar1,Tropicoperdix chloropus
crhpar1,Haematortyx sanguiniceps
redspu1,Galloperdix spadicea
paispu1,Galloperdix lunulata
ceyspu1,Galloperdix bicalcarata
palpep1,Polyplectron napoleonis
bopphe1,Polyplectron schleiermacheri
mapphe1,Polyplectron malacense
gepphe1,Polyplectron germaini
grypep3,Polyplectron katsumatae
grypep2,Polyplectron bicalcaratum
mopphe1,Polyplectron inopinatum
btpphe1,Polyplectron chalcurum
mobpar1,Bambusicola fytchii
chbpar3,Bambusicola thoracicus
taibap1,Bambusicola sonorivox
grejun1,Gallus varius
redjun,Gallus gallus
grejun2,Gallus sonneratii
ceyjun1,Gallus lafayettii
forfra2,Peliperdix lathami
crefra2,Ortygornis sephaena
gryfra,Ortygornis pondicerianus
swafra1,Ortygornis gularis
chifra1,Francolinus pintadeanus
blkfra,Francolinus francolinus
paifra1,Francolinus pictus
coqfra2,Campocolinus coqui
whtfra2,Campocolinus albogularis
rewfra2,Scleroptila levaillantii
finfra2,Scleroptila finschi
moofra2,Scleroptila psilolaema
gywfra1,Scleroptila afra
orrfra2,Scleroptila gutturalis
shefra1,Scleroptila shelleyi
tibsno1,Tetraogallus tibetanus
altsno1,Tetraogallus altaicus
causno1,Tetraogallus caucasicus
cassno1,Tetraogallus caspius
himsno,Tetraogallus himalayensis
sespar1,Ammoperdix griseogularis
sanpar1,Ammoperdix heyi
broqua1,Synoicus ypsilophorus
snmqua2,Synoicus monorthonyx
blbqua1,Synoicus chinensis
comqua1,Coturnix coturnix
japqua,Coturnix japonica
harqua1,Coturnix delegorguei
raiqua1,Coturnix coromandelica
stuqua1,Coturnix pectoralis
barpar2,Alectoris barbara
arapar1,Alectoris melanocephala
relpar1,Alectoris rufa
chukar,Alectoris chukar
rocpar2,Alectoris graeca
phipar1,Alectoris philbyi
przpar1,Alectoris magna
jubqua1,Perdicula asiatica
robqua1,Perdicula argoondah
pabqua1,Perdicula erythrorhyncha
harfra3,Pternistis hartlaubi
camfra2,Pternistis camerunensis
hanfra2,Pternistis nobilis
chnfra2,Pternistis castaneicollis
chnfra3,Pternistis castaneicollis atrifrons
ercfra,Pternistis erckelii
djifra1,Pternistis ochropectus
swifra2,Pternistis swierstrai
ahafra2,Pternistis ahantensis
gysfra1,Pternistis griseostriatus
jacfra2,Pternistis jacksoni
rebfra1,Pternistis adspersus
capfra2,Pternistis capensis
natfra2,Pternistis natalensis
hilfra2,Pternistis hildebrandti
dosfra2,Pternistis bicalcaratus
scafra2,Pternistis squamatus
heufra1,Pternistis icterorhynchus
clafra1,Pternistis clappertoni
